,# YTID,start_seconds,end_seconds,positive_labels,label_names
3420,71NPWi9Xs6o,310.0,320.0,"""/m/04rlf,/m/0xzly""",Music | Maraca
3421,71Y6xnT_Cz4,210.0,220.0,"""/m/09x0r,/t/dd00112""","Speech | Crumpling, crinkling"
3422,71nimOIhEFU,470.0,480.0,"""/m/01g50p,/m/04zmvq,/m/06d_3,/m/07jdr""","Railroad car, train wagon | Train whistle | Rail transport | Train"
3423,72-6e1lw7LM,100.0,110.0,"""/m/01z47d,/m/09x0r""",Busy signal | Speech
3424,722ZD8iNIBU,30.0,40.0,"""/m/07q0yl5,/m/09x0r""",Snort | Speech
3425,72BQGxxiwIY,160.0,170.0,"""/m/0dq0md""",Music of Bollywood
3426,72Lf5uYJfZM,30.0,40.0,"""/m/07qdb04""",Quack
3427,72UgXNqnYuk,30.0,40.0,"""/m/04rlf,/t/dd00004""",Music | Female singing
3428,72_Hk1cdoxk,70.0,80.0,"""/m/0326g,/m/0g293""",Flamenco | Music of Latin America
3429,72cHsypArNc,490.0,500.0,"""/m/04rlf,/m/05r5wn,/m/09x0r""",Music | Rattle (instrument) | Speech
3430,72f43l_5enE,0.0,10.0,"""/m/07pqn27""",Bouncing
3431,72wtqWYGKgA,10.0,20.0,"""/m/0ghcn6,/t/dd00125""","Growling | Inside, small room"
3432,731u5OaVa5c,20.0,30.0,"""/m/07qw_06""","Wail, moan"
3433,732xfAeyuJE,0.0,10.0,"""/m/07plct2""",Crushing
3434,7342zytpO4o,30.0,40.0,"""/m/012ndj,/m/03j1ly,/m/03kmc9""","Fire engine, fire truck (siren) | Emergency vehicle | Siren"
3435,73DnOBXzdVM,30.0,40.0,"""/m/04rlf,/t/dd00003,/t/dd00006""",Music | Male singing | Synthetic singing
3436,73SYrra4rzM,30.0,40.0,"""/m/07pzfmf,/m/09x0r""",Crackle | Speech
3437,73qQODel1xU,190.0,200.0,"""/m/03cczk,/m/07pdhp0""","Chewing, mastication | Biting"
3438,73uN69-lXEE,70.0,80.0,"""/m/02w4v,/m/04rlf""",Folk music | Music
3439,74MqoHo-kSs,30.0,40.0,"""/m/02cjck,/m/04rlf""",Theme music | Music
3440,74ZtTQKeQoU,0.0,10.0,"""/m/07rqsjt""","Whoosh, swoosh, swish"
3441,74bgHaM43RU,10.0,20.0,"""/m/03dnzn,/m/0838f""",Bathtub (filling or washing) | Water
3442,74zhNxgFkTQ,230.0,240.0,"""/m/04rlf,/m/0dl5d""",Music | Progressive rock
3443,759nCPg2ods,30.0,40.0,"""/m/04rlf,/m/09x0r,/t/dd00004""",Music | Speech | Female singing
3444,75UH33tO0Bo,30.0,40.0,"""/m/0155w,/m/04rlf""",Blues | Music
3445,767SBLnTTlA,30.0,40.0,"""/m/03vt0,/m/09f96,/m/0h2mp""","Insect | Mosquito | Fly, housefly"
3446,76oYPMTVIQ0,30.0,40.0,"""/m/07q7njn""","Chink, clink"
3447,76pFWYirLCw,0.0,10.0,"""/m/04rlf,/m/07rrh0c,/m/09x0r""",Music | Thunk | Speech
3448,76pXCH-hvb4,30.0,40.0,"""/m/014zdl,/m/04rlf""",Explosion | Music
3449,770gRHwg1pA,20.0,30.0,"""/m/01g90h""",Stomach rumble
3450,777vfvZlUWc,290.0,300.0,"""/t/dd00065""",Light engine (high frequency)
3451,77A-WJHQy3Q,30.0,40.0,"""/m/04rlf,/m/09x0r,/t/dd00004""",Music | Speech | Female singing
3452,77DHZFJZnK4,30.0,40.0,"""/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r""",Reversing beeps | Truck | Vehicle | Speech
3453,77facv5ZupE,80.0,90.0,"""/m/04rlf,/m/05r6t""",Music | Punk rock
3454,782irv2y6W0,190.0,200.0,"""/m/03l9g""",Hammer
3455,78BtX0oNXHQ,100.0,110.0,"""/m/0140xf,/m/04rlf,/m/05fw6t""",Christmas music | Music | Music for children
3456,78KjO5EH6dk,190.0,200.0,"""/m/046dlr,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk""","Alarm clock | Domestic animals, pets | Speech | Dog | Animal"
3457,78R6KgsSPRk,0.0,10.0,"""/m/06mb1,/m/0jb2l,/m/0ngt1""",Rain | Thunderstorm | Thunder
3458,78izAxpHSOI,230.0,240.0,"""/m/025wky1,/m/09x0r,/t/dd00125""","Air conditioning | Speech | Inside, small room"
3459,78qlcOgPZ9U,15.0,25.0,"""/m/07pn_8q""",Chopping (food)
3460,794cfJsgAsY,20.0,30.0,"""/m/015lz1,/m/0326g,/m/04rzd""",Singing | Flamenco | Mandolin
3461,796ft4SDrnQ,0.0,10.0,"""/m/015jpf,/m/09x0r""",Dial tone | Speech
3462,796kHVa2UVw,320.0,330.0,"""/m/03cczk,/m/09x0r,/t/dd00125""","Chewing, mastication | Speech | Inside, small room"
3463,799uAdtmY9k,160.0,170.0,"""/m/02bm9n,/m/05zc1,/t/dd00077""","Ratchet, pawl | Pulleys | Mechanisms"
3464,79_6qU6dI78,420.0,430.0,"""/m/02p3nc,/m/09x0r""",Hiccup | Speech
3465,7AC9RqECN5k,30.0,40.0,"""/m/0l14jd,/t/dd00003,/t/dd00004""",Choir | Male singing | Female singing
3466,7ALU6YNOf2w,110.0,120.0,"""/m/09x0r,/m/0brhx""",Speech | Speech synthesizer
3467,7AfaA5FM4W0,30.0,40.0,"""/m/03kmc9,/m/0dgbq""",Siren | Civil defense siren
3468,7AiAK5YI-sw,0.0,10.0,"""/m/0cj0r,/t/dd00129""","Pink noise | Outside, rural or natural"
3469,7AliTSUCwvA,30.0,40.0,"""/m/07qs1cx""",Crack
3470,7Als67qlD9Q,30.0,40.0,"""/m/016cjb,/m/04rlf""",Gospel music | Music
3471,7B1OAtD_VIA,30.0,40.0,"""/m/0155w,/m/04rlf""",Blues | Music
3472,7Bfg94jYDVI,260.0,270.0,"""/m/032s66,/m/04zjc""","Gunshot, gunfire | Machine gun"
3473,7Bg-MQzCdo8,570.0,580.0,"""/m/04rlf,/m/07pp8cl,/m/09x0r,/t/dd00126""","Music | Telephone bell ringing | Speech | Inside, large room or hall"
3474,7BiRd6CpHFE,210.0,220.0,"""/m/0k65p""",Hands
3475,7Bon3WIhDq4,160.0,170.0,"""/m/018j2,/m/028ght,/m/04rlf,/m/09x0r,/m/0gg8l""",Banjo | Applause | Music | Speech | Bluegrass
3476,7C53GfbWiv0,30.0,40.0,"""/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136""",Guitar | Acoustic guitar | Music | Musical instrument | Bow-wow | Speech | Dog | Animal | Whimper (dog)
3477,7CF182nt-bE,30.0,40.0,"""/m/04rlf,/m/0l156b""",Music | Steelpan
3478,7Czq0yfgclU,0.0,10.0,"""/m/0838f,/t/dd00088""",Water | Gush
3479,7DFJpPvm36g,30.0,40.0,"""/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136""","Domestic animals, pets | Bow-wow | Speech | Dog | Animal | Whimper (dog)"
3480,7DIPyJB4osY,30.0,40.0,"""/m/01sm1g,/m/0l14md""",Wood block | Percussion
3481,7DnayFfLdok,30.0,40.0,"""/m/02rhddq,/m/07r04,/m/07yv9""",Reversing beeps | Truck | Vehicle
3482,7E--KkWuiR0,0.0,10.0,"""/m/01h82_,/m/02mk9""",Engine knocking | Engine
3483,7EKHXdoE0ls,60.0,70.0,"""/m/04rlf,/m/07hvw1,/m/07yv9,/m/09x0r""",Music | Field recording | Vehicle | Speech
3484,7EPlBrtzv74,170.0,180.0,"""/m/0463cq4,/m/09x0r,/t/dd00125""","Crying, sobbing | Speech | Inside, small room"
3485,7Ep2a7_sbmc,260.0,270.0,"""/m/09x0r,/m/0l15bq""",Speech | Clapping
3486,7EvLwfwRrqA,30.0,40.0,"""/m/05pd6""",Orchestra
3487,7Ew4nOmZuyY,30.0,40.0,"""/m/04rlf,/m/07pjwq1,/m/09x0r""",Music | Buzz | Speech
3488,7F01MogWvhQ,30.0,40.0,"""/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk""","Cat | Domestic animals, pets | Meow | Caterwaul | Speech | Animal"
3489,7FHzw4HV75Y,230.0,240.0,"""/m/01kcd,/m/07gql""",Brass instrument | Trumpet
3490,7FI6nCbX89k,150.0,160.0,"""/m/068hy,/m/068zj,/m/0jbk""","Domestic animals, pets | Pig | Animal"
3491,7FZjiXldgrc,30.0,40.0,"""/m/01v1d8,/m/04rlf""",Sampler | Music
3492,7FgIsmlsXtM,30.0,40.0,"""/m/03v3yw""",Keys jangling
3493,7FkuqqdWRhw,170.0,180.0,"""/m/04rlf,/m/06j6l,/m/07p78v5""",Music | Rhythm and blues | Zing
3494,7G76uQj5eas,140.0,150.0,"""/m/04rlf,/m/07rn7sz,/m/09x0r,/t/dd00125""","Music | Shatter | Speech | Inside, small room"
3495,7GEiPdnqJUw,20.0,30.0,"""/m/0c3f7m""",Fire alarm
3496,7GRUfDGJIwo,30.0,40.0,"""/m/04rmv""",Mouse
3497,7GvM1ZhcbdY,10.0,20.0,"""/m/07st88b,/m/09ld4""",Croak | Frog
3498,7Gw9kJz3k54,30.0,40.0,"""/m/04rlf,/m/04wptg""",Music | Wedding music
3499,7Gy60o2R4TA,160.0,170.0,"""/m/06xkwv,/m/07rcgpl""",Mains hum | Hum
3500,7H09aM-_nZc,0.0,10.0,"""/m/01z47d,/m/02fs_r,/m/04rlf""","Busy signal | Beep, bleep | Music"
3501,7H6B6LQmB7c,100.0,110.0,"""/m/05x_td,/m/06_fw,/m/07qv_d5,/m/0912c9,/m/09x0r""","Air horn, truck horn | Skateboard | Toot | Vehicle horn, car horn, honking | Speech"
3502,7HClAwzg7OM,0.0,7.0,"""/m/019jd,/m/02rlv9""","Boat, Water vehicle | Motorboat, speedboat"
3503,7HIclBlErTw,30.0,40.0,"""/m/04rlf,/m/07qs1cx""",Music | Crack
3504,7Hcizjr7zB8,140.0,150.0,"""/m/04qvtq,/m/04rlf,/m/0l156b""",Police car (siren) | Music | Steelpan
3505,7Ht_Vu1D8nc,30.0,40.0,"""/m/0192l,/m/085jw""","Bagpipes | Wind instrument, woodwind instrument"
3506,7Hwz-hsvUSk,30.0,40.0,"""/m/04rlf,/m/07qz6j3""",Music | Whimper
3507,7I6fpFH5mes,50.0,60.0,"""/m/0gg8l""",Bluegrass
3508,7IBOkY_oUbA,0.0,10.0,"""/m/09x0r,/m/0llzx""",Speech | Sewing machine
3509,7INTt4GUOoY,10.0,20.0,"""/m/0939n_""",Gargling
3510,7INlkuTjKLY,30.0,40.0,"""/m/04rlf,/t/dd00005""",Music | Child singing
3511,7ITwarmdyfI,0.0,10.0,"""/m/018j2,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y""",Banjo | Guitar | Acoustic guitar | Music | Musical instrument | Plucked string instrument
3512,7IVNIcOntfo,20.0,30.0,"""/m/01s0vc,/m/09x0r""",Zipper (clothing) | Speech
3513,7IXBKjSUQ-Y,70.0,80.0,"""/m/06hck5,/m/06wzb,/m/07rjwbb""",Steam whistle | Steam | Hiss
3514,7IllUjk5fk0,30.0,40.0,"""/m/04rlf,/m/06j64v""",Music | Middle Eastern music
3515,7IndxxjZe1c,70.0,80.0,"""/m/015lz1,/m/0342h,/m/04rlf,/m/04szw,/m/06rqw,/m/0fx80y""",Singing | Guitar | Music | Musical instrument | Ska | Plucked string instrument
3516,7IqsqI5clho,30.0,40.0,"""/m/027m70_""",Jingle bell
3517,7ItYW-0XFo0,0.0,10.0,"""/m/01hsr_,/m/04rlf,/m/09x0r""",Sneeze | Music | Speech
3518,7Ix6yGwnf70,130.0,140.0,"""/m/04rlf,/m/04wptg""",Music | Wedding music
3519,7J6U-HE3Lko,100.0,110.0,"""/m/04rlf,/t/dd00036""",Music | Angry music
3520,7J7_OGwI2O4,0.0,10.0,"""/m/03qtwd,/m/04gy_2,/m/053hz1""",Crowd | Battle cry | Cheering
3521,7JE2eBK1f9M,110.0,120.0,"""/m/05pd6""",Orchestra
3522,7JMN4DdhwsM,10.0,20.0,"""/m/0342h,/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y""",Guitar | Music | Musical instrument | Ukulele | Plucked string instrument
3523,7JZCk4RnlMk,30.0,40.0,"""/m/07pn_8q""",Chopping (food)
3524,7K4kLUy6Kqo,0.0,10.0,"""/m/04rlf,/m/07s2xch,/m/09x0r""",Music | Groan | Speech
3525,7KIn0zojwu8,330.0,340.0,"""/m/01s0ps,/m/05148p4,/m/05r5c""",Electric piano | Keyboard (musical) | Piano
3526,7KLcXpyuexo,400.0,410.0,"""/m/01bjv,/m/02rhddq,/m/07yv9,/m/09x0r,/t/dd00128""","Bus | Reversing beeps | Vehicle | Speech | Outside, urban or manmade"
3527,7KRP20nB_CQ,30.0,40.0,"""/m/04rlf,/t/dd00003""",Music | Male singing
3528,7Ka3x-cQJGs,420.0,430.0,"""/m/07qc9xj""",Clicking
3529,7KhBpsbkmuE,60.0,70.0,"""/m/02pjr4""",Blender
3530,7Kmr1givYEw,22.0,32.0,"""/m/06hck5,/m/06wzb""",Steam whistle | Steam
3531,7Kn-xhQ4hmY,520.0,530.0,"""/m/01yg9g,/m/07yv9,/t/dd00128""","Lawn mower | Vehicle | Outside, urban or manmade"
3532,7KvmusRXFys,30.0,40.0,"""/m/02mk9,/m/07yv9,/m/09x0r,/t/dd00130""",Engine | Vehicle | Speech | Engine starting
3533,7KwE08SzlAY,30.0,40.0,"""/m/07pb8fc""",Idling
3534,7L2F7YC8e_A,30.0,40.0,"""/m/01m2v,/m/0316dw""",Computer keyboard | Typing
3535,7L6YHRn0Wio,20.0,30.0,"""/m/02mk9,/m/07qn4z3""",Engine | Rattle
3536,7LRr0ZhqRZ0,30.0,40.0,"""/m/02mk9,/m/07yv9,/t/dd00130""",Engine | Vehicle | Engine starting
3537,7LWEohTQ930,30.0,40.0,"""/m/04rlf,/m/07qn4z3,/m/09x0r""",Music | Rattle | Speech
3538,7LWGx05RgDE,130.0,140.0,"""/m/026fgl,/m/0f8s22""",Wind chime | Chime
3539,7Leh-jVFjjg,14.0,24.0,"""/m/014zdl""",Explosion
3540,7LkCUEVlfY0,70.0,80.0,"""/m/07qw_06,/m/09x0r""","Wail, moan | Speech"
3541,7LlnLjZOqVI,30.0,40.0,"""/m/01hgjl,/m/07qb_dv""",Scratching (performance technique) | Scratch
3542,7Lmnfd5YJ1Y,30.0,40.0,"""/m/04rlf,/m/06j64v""",Music | Middle Eastern music
3543,7M3PtG0DzJc,180.0,190.0,"""/m/09x0r,/m/0dv3j""",Speech | Boiling
3544,7MbfnA1kLyQ,0.0,10.0,"""/m/01bjv""",Bus
3545,7Mfy9hLqaiM,20.0,30.0,"""/m/027m70_""",Jingle bell
3546,7MfzU-WhV1A,0.0,10.0,"""/m/04rlf,/m/0cfdd""",Music | Drum machine
3547,7Msk_hkz6zk,30.0,40.0,"""/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw""",Blues | Music | Rhythm and blues | Ska
3548,7Mv4eKPe850,110.0,120.0,"""/m/015lz1,/m/04rlf,/m/06by7,/m/07s8j8t""",Singing | Music | Rock music | Roll
3549,7N2q1XkFuqY,21.0,31.0,"""/m/01yrx,/m/04rlf,/m/068hy,/m/07qrkrw,/m/09x0r,/m/0jbk""","Cat | Music | Domestic animals, pets | Meow | Speech | Animal"
3550,7NF2kcEfMBI,420.0,430.0,"""/m/0342h,/m/04rlf,/m/04szw,/m/09x0r,/m/0b_fwt,/m/0fx80y,/t/dd00125""","Guitar | Music | Musical instrument | Speech | Electronic tuner | Plucked string instrument | Inside, small room"
3551,7NHLMbytk5o,30.0,40.0,"""/m/04rlf,/m/07pjwq1,/m/09x0r""",Music | Buzz | Speech
3552,7NO4l181BSw,30.0,40.0,"""/m/07pn_8q""",Chopping (food)
3553,7NTMQdS3smM,90.0,100.0,"""/m/01m4t""",Printer
3554,7NVPQMMdadM,30.0,40.0,"""/m/0fx9l""",Microwave oven
3555,7NtM1MM76s0,20.0,30.0,"""/m/026t6,/m/02k_mr,/m/06rvn,/m/0l14md""",Drum | Drum roll | Snare drum | Percussion
3556,7NzVvKVliyk,80.0,90.0,"""/m/025wky1,/m/09x0r""",Air conditioning | Speech
3557,7OPQEwCw1eE,12.0,22.0,"""/m/07qwdck""",Ping
3558,7OhEEOl4a4c,30.0,40.0,"""/m/07p6mqd,/m/07rrlb6,/m/0838f,/m/09x0r""","Slosh | Splash, splatter | Water | Speech"
3559,7OjXHfVoI64,200.0,210.0,"""/m/01kcd,/m/0319l""",Brass instrument | French horn
3560,7P-1BJ1A9ME,2.0,12.0,"""/m/03wwcy""",Doorbell
3561,7PG_GGEfi9s,3.0,13.0,"""/m/04rlf,/m/07c52""",Music | Television
3562,7PXv8yij2yg,30.0,40.0,"""/m/013y1f,/m/03gvt,/m/03xq_f""",Organ | Hammond organ | Electronic organ
3563,7PaOV4oC3eI,30.0,40.0,"""/m/07qcpgn,/m/09x0r""",Tap | Speech
3564,7PasUJM2M1I,200.0,210.0,"""/m/07p9k1k,/m/07ptfmf""",Sizzle | Stir
3565,7Q-8A7HQWSc,30.0,40.0,"""/m/03m5k,/m/0d8_n""",Harp | Pizzicato
3566,7Q0yxu0ogAI,40.0,50.0,"""/m/0j2kx""",Waterfall
3567,7QEmQFaRYXs,110.0,120.0,"""/m/013y1f,/m/03gvt,/m/03xq_f""",Organ | Hammond organ | Electronic organ
3568,7QWkWz9pIeI,30.0,40.0,"""/m/04rlf,/m/07pkxdp""",Music | Lullaby
3569,7R2aJelx6Zo,560.0,570.0,"""/m/04rlf,/m/07rrh0c,/m/09x0r""",Music | Thunk | Speech
3570,7R3tP8wKBsg,40.0,50.0,"""/m/04rmv,/m/09x0r,/m/0jbk""",Mouse | Speech | Animal
3571,7RJb2ZHh2JM,22.0,32.0,"""/m/07hvw1,/m/09x0r""",Field recording | Speech
3572,7RUkkhkqyUw,90.0,100.0,"""/m/03q5t,/m/05148p4""",Harpsichord | Keyboard (musical)
3573,7RaP0v6zRcM,150.0,160.0,"""/m/0130jx,/m/02jz0l,/m/0838f""","Sink (filling or washing) | Water tap, faucet | Water"
3574,7RtQpW2dSU4,10.0,20.0,"""/m/04rlf,/t/dd00031""",Music | Happy music
3575,7RvYX1eWdbk,70.0,80.0,"""/m/018vs,/m/01b9nn,/m/01jnbd,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/07m2kt""",Bass guitar | Reverberation | Echo | Effects unit | Electric guitar | Guitar | Music | Chorus effect
3576,7RxctxszXW0,16.0,26.0,"""/m/04rmv""",Mouse
3577,7S3fU4RHabw,470.0,480.0,"""/m/02p0sh1,/m/02v2lh,/m/04rlf""",Traditional music | New-age music | Music
3578,7S9a9DsTBsI,0.0,10.0,"""/m/01z47d,/m/04cvmfc,/m/09x0r""",Busy signal | Roar | Speech
3579,7SR-lnHmDi8,30.0,40.0,"""/m/04rlf,/t/dd00004,/t/dd00005""",Music | Female singing | Child singing
3580,7SRnyWhkU9M,290.0,300.0,"""/m/06_fw""",Skateboard
3581,7SRwq1t81Fk,10.0,20.0,"""/m/04rlf,/m/07pqn27,/m/09x0r""",Music | Bouncing | Speech
3582,7SSxBFP4LSQ,180.0,190.0,"""/m/04zmvq,/m/06hck5,/m/06wzb,/m/07rjwbb""",Train whistle | Steam whistle | Steam | Hiss
3583,7SZFvCNKCNg,540.0,550.0,"""/m/07rn7sz""",Shatter
3584,7Sfbc9GAwho,30.0,40.0,"""/m/05_wcq""","Bird flight, flapping wings"
3585,7SpYywlGPyM,30.0,40.0,"""/m/09x0r,/m/0k65p,/m/0l15bq,/m/0ytgt""","Speech | Hands | Clapping | Child speech, kid speaking"
3586,7T5WSO115ZM,40.0,50.0,"""/m/01qbl,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md""",Cymbal | Drum | Drum kit | Drum roll | Rimshot | Snare drum | Bass drum | Percussion
3587,7TFzZyNE5CU,30.0,40.0,"""/m/01m4t""",Printer
3588,7TYGvfS1qtw,110.0,120.0,"""/m/04rlf,/m/09x0r,/m/0jtg0""",Music | Speech | Sitar
3589,7U-51K9naGs,280.0,290.0,"""/m/012xff,/m/04fgwm,/m/09x0r""",Toothbrush | Electric toothbrush | Speech
3590,7U2pvefCW10,30.0,40.0,"""/m/05zc1""",Pulleys
3591,7U3Uwu42nwk,150.0,160.0,"""/m/02mscn,/m/04rlf""",Christian music | Music
3592,7UKtoZ2IvMQ,30.0,40.0,"""/m/0199g,/m/04rlf,/m/07s34ls""",Bicycle | Music | Whir
3593,7Ufea5nkc-M,60.0,70.0,"""/m/01wy6""",Clarinet
3594,7V4iwKKunGA,0.0,10.0,"""/m/07ptzwd,/m/0838f""",Pump (liquid) | Water
3595,7VDeHnt99Yg,10.0,20.0,"""/m/05x_td,/m/0912c9,/m/09x0r,/t/dd00125""","Air horn, truck horn | Vehicle horn, car horn, honking | Speech | Inside, small room"
3596,7VRkh-80LEw,70.0,80.0,"""/m/09x0r,/t/dd00112,/t/dd00125""","Speech | Crumpling, crinkling | Inside, small room"
3597,7Vb7IKhVKu4,50.0,60.0,"""/m/02cjck""",Theme music
3598,7W08vmriHkA,30.0,40.0,"""/m/03k3r,/m/07q5rw0,/m/09x0r""","Horse | Neigh, whinny | Speech"
3599,7WOBEB_l6I8,0.0,5.0,"""/m/07st88b,/m/09ld4""",Croak | Frog
3600,7WR-hMV2RKs,170.0,180.0,"""/m/026t6,/m/04rlf,/m/04szw,/m/0l14md,/m/0l156b""",Drum | Music | Musical instrument | Percussion | Steelpan
3601,7WoFyN1R-1g,12.0,22.0,"""/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk""","Cat | Domestic animals, pets | Meow | Caterwaul | Speech | Animal"
3602,7WozCTYbIZs,30.0,40.0,"""/m/027m70_""",Jingle bell
3603,7X-Vqp7T9xI,40.0,50.0,"""/m/07s0dtb,/m/09x0r,/m/0lyf6""",Gasp | Speech | Breathing
3604,7X3xpNvHSEk,0.0,10.0,"""/m/0gy1t2s""",Bicycle bell
3605,7XMDKZQ0GKw,90.0,100.0,"""/m/07ppn3j,/m/09x0r""",Sniff | Speech
3606,7XUouXu1iR4,160.0,170.0,"""/m/01z47d,/m/09x0r""",Busy signal | Speech
3607,7XhHUGlqD5I,40.0,50.0,"""/m/04fgwm""",Electric toothbrush
3608,7XuIzJ7KGMs,40.0,50.0,"""/m/07r660_,/m/07sq110,/m/0ytgt,/t/dd00125,/t/dd00128""","Giggle | Belly laugh | Child speech, kid speaking | Inside, small room | Outside, urban or manmade"
3609,7YAS-Qo_sjI,0.0,10.0,"""/m/015lz1,/m/025_jnm,/m/09x0r""",Singing | Finger snapping | Speech
3610,7YWMPBHKdyY,30.0,40.0,"""/m/085jw,/m/0l14l2""","Wind instrument, woodwind instrument | Shofar"
3611,7YgpZtq8-f4,20.0,30.0,"""/m/04rlf,/m/09x0r,/t/dd00006""",Music | Speech | Synthetic singing
3612,7Yr4Y6V8hck,30.0,40.0,"""/m/01g50p,/m/04zmvq,/m/06d_3,/m/06wzb,/m/07jdr,/m/07rjwbb,/m/07rwm0c,/m/0c1dj""","Railroad car, train wagon | Train whistle | Rail transport | Steam | Train | Hiss | Clickety-clack | Sound effect"
3613,7YtKrL6ScXA,30.0,40.0,"""/m/04rlf,/t/dd00033""",Music | Sad music
3614,7ZW8xO37bA4,10.0,20.0,"""/m/01glhc,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5""",Tapping (guitar technique) | Effects unit | Guitar | Music | Musical instrument | Plucked string instrument | Distortion
3615,7ZX-x-fNw3w,370.0,380.0,"""/m/01j3sz,/m/0939n_,/m/09x0r""",Laughter | Gargling | Speech
3616,7_0fzpAJ3GI,30.0,40.0,"""/m/04rlf,/m/0gg8l""",Music | Bluegrass
3617,7_0g3tEcM0w,80.0,90.0,"""/m/026t6,/m/02k_mr,/m/06rvn,/m/0l14md""",Drum | Drum roll | Snare drum | Percussion
3618,7_PrlSyBjfw,13.0,23.0,"""/m/03kmc9,/m/07pp_mv""",Siren | Alarm
3619,7_QapsrGCZY,30.0,40.0,"""/m/04s8yn,/m/07r5c2p""",Crow | Caw
3620,7__3bnmqeqI,30.0,40.0,"""/m/04rlf,/m/07qjznt""",Music | Tick
3621,7_vdHQC7RHw,20.0,30.0,"""/m/01jwx6,/m/02mk9,/m/04_sv,/m/07yv9""",Vibration | Engine | Motorcycle | Vehicle
3622,7aCQ1x4XX1M,10.0,20.0,"""/m/07qcpgn""",Tap
3623,7aKBgag7ylE,0.0,9.0,"""/m/07pjwq1,/m/09x0r""",Buzz | Speech
3624,7ahr0ay310U,40.0,50.0,"""/m/02yds9,/m/0jbk""",Purr | Animal
3625,7avMUhHOCR8,30.0,40.0,"""/m/0155w,/m/04rlf,/m/064t9""",Blues | Music | Pop music
3626,7azTIyaeqx4,0.0,10.0,"""/m/068hy,/m/068zj,/m/0ch8v,/m/0jbk""","Domestic animals, pets | Pig | Livestock, farm animals, working animals | Animal"
3627,7azzA91qIVg,0.0,10.0,"""/m/068hy,/m/07pyy8b,/m/0jbk""","Domestic animals, pets | Pant | Animal"
3628,7b446bDv9Ek,30.0,40.0,"""/m/01s0vc,/m/09x0r""",Zipper (clothing) | Speech
3629,7bD0eDmQRqE,180.0,190.0,"""/m/07p7b8y,/m/0838f,/m/09x0r""",Fill (with liquid) | Water | Speech
3630,7bNZVhBn40w,40.0,50.0,"""/m/015jpf,/m/09x0r""",Dial tone | Speech
3631,7bdrH_w1uqA,130.0,140.0,"""/m/01hsr_""",Sneeze
3632,7bjeYrzsTk4,30.0,40.0,"""/m/07rc7d9,/m/09x0r,/t/dd00136""",Bow-wow | Speech | Whimper (dog)
3633,7bvl9662aVc,90.0,100.0,"""/m/04rlf,/m/07q7njn,/m/09x0r""","Music | Chink, clink | Speech"
3634,7bxEtiuLOsQ,500.0,510.0,"""/m/04cvmfc,/m/04rlf,/m/09x0r""",Roar | Music | Speech
3635,7cShCWEmupE,0.0,10.0,"""/m/07q6cd_,/m/09x0r""",Squeak | Speech
3636,7cax7LkVehw,120.0,130.0,"""/m/04rlf,/m/04wptg,/m/0dq0md""",Music | Wedding music | Music of Bollywood
3637,7cvqeU9Wh-I,10.0,20.0,"""/m/015lz1,/m/02v2lh,/m/04rlf""",Singing | New-age music | Music
3638,7cw7rDLcujI,30.0,40.0,"""/m/04rlf,/m/05fw6t,/m/09x0r""",Music | Music for children | Speech
3639,7d7W7VhIVcM,30.0,40.0,"""/m/02qldy,/m/09x0r""","Narration, monologue | Speech"
3640,7d9mgjUlskw,0.0,10.0,"""/m/07plz5l""",Sigh
3641,7dXSTfVMNME,0.0,10.0,"""/m/06xkwv,/m/07rcgpl""",Mains hum | Hum
3642,7db64HOzh-Y,30.0,40.0,"""/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r""",Reversing beeps | Truck | Vehicle | Speech
3643,7df2D_hHKeA,580.0,590.0,"""/m/015vgc,/m/028sqc,/m/04rlf""",Carnatic music | Music of Asia | Music
3644,7dmT4SgS_EM,30.0,40.0,"""/m/02w4v,/m/04rlf""",Folk music | Music
3645,7e2ifgqrN1Q,10.0,20.0,"""/m/07qv_d5,/m/07r04,/m/07yv9,/m/0912c9,/t/dd00066""","Toot | Truck | Vehicle | Vehicle horn, car horn, honking | Medium engine (mid frequency)"
3646,7eZTmLV9gcY,30.0,40.0,"""/m/04rlf,/t/dd00033""",Music | Sad music
3647,7enfWOAynno,20.0,30.0,"""/m/04rlf,/m/09x0r,/m/0chx_""",Music | Speech | White noise
